Gasolinera_id,Rótulo,Horario,Dirección,Código postal,Precio gasoleo A,Precio gasolina 95 protección,Precio gasolina 98,Precio nuevo gasoleo A,lat,lon
1,SHELL,L-S: 06:00-00:00; D: 09:00-17:00,"AVENIDA VALDELAPARRA",28100,1279,1369,1509,1359,40.537250,-3.643194
2,SHELL,L-D: 06:00-22:00,"CARRETERA M-603",28100,1279,1369,1509,1359,40.528806,-3.651583
3,CARREFOUR,L-D: 24H,"CARRETERA A-1",28100,1249,1339,1469,1279,40.528194,-3.649417
4,BP,L-D: 06:00-22:00,"CALLE VALGRANDE (DE)",28100,1259,1359,,,40.536583,-3.649778
5,BP EL SAPO-ALCOBENDAS,L-D: 06:00-13:59 y 14:00-22:00,"AVENIDA MONTE DE VALDELATAS",28100,1259,1359,1501,1349,40.528722,-3.659667
6,BP VALDAVIA,L-D: 24H,"CALLE MARQUES DE LA VALDAVIA (DEL)",28100,1259,1359,1501,1349,40.546944,-3.653944
7,BP JUNCAL,L-D: 24H,CARRETERA BARAJAS,28100,1259,1359,1501,1349,40.534083,-3.618944
8,CEPSA,L-D: 07:00-23:00,"AVENIDA EUROPA (C.C. LA MORALEJA)",28100,1289,1374,1489,1349,40.520111,-3.657528
9,BALLENOIL,L-D: 24H,"CALLE VALGRANDE",28100,1177,1299,,1199,40.539583,-3.654139
10,REPSOL,L-D: 06:00-00:00,"CR M-603",28100,1275,1385,1525,1355,40.525778,-3.654889
11,REPSOL,L-D: 24H,"CL AVENIDA DE ESPA¿A",28100,1259,1375,1515,1339,40.546167,-3.634639
12,CEPSA,L-D: 06:00-22:00,"PASEO ALCOBENDAS (DE)",28100,1319,,1524,1369,40.527889,-3.622306
13,GALP,L-D: 24H,"CARRETERA ANTIGUA NACIONAL I",28100,1249,1369,1509,1319,40.532806,-3.642250
14,GALP,L-D: 24H,"AVENIDA VALDELAPARRA (DE)",28100,1249,1369,1509,1319,40.548306,-3.662056
15,REPOSTA ALCOBENDAS,L-D: 24H,"AVENIDA MARQUES DE LA VALDAVIA",28100,1219,1319,,,40.546556,-3.651861
16,REPSOL,L-D: 06:00-23:00,"CL BOULEVARD SALVADOR ALLENDE",28108,1249,1365,1505,1329,40.537500,-3.633944
17,REPSOL,L-S: 06:00-22:00; D: 08:00-22:00,"BULEVAR SALVADOR ALLENDE (DE)",28108,1249,1365,1505,1329,40.537750,-3.634389
18,REPSOL,L-V: 06:00-22:00; S: 07:00-14:00,"CALLE FRANCISCO GERVAS",28108,1259,1349,1489,1339,40.533722,-3.652250
19,ALCAMPO,L-D: 24H,"AVENIDA OLIMPICA",28108,1177,1299,1459,1229,40.535194,-3.636806
20,REPSOL,L-S: 07:00-22:00; D: 09:00-15:00,"PLAZA MORALEJA S/N",28109,1279,1389,,,40.515639,-3.651083
21,SHELL,L-D: 24H,"AVENIDA FUENTENUEVA",28700,1259,1359,1509,1349,40.547750,-3.610750
22,SHELL,L-D: 06:00-00:00,CARRETERA ANTIGUA N-I CV CAMINO REDESA,28700,1259,1359,1509,1349,40.565556,-3.605472
23,SETOR,L-D: 06:00-00:00,"N-I  (BURGOS-MADRID)",28700,1209,1309,,1219,40.590944,-3.583417
24,CEPSA,L-D: 24H,CTRA. BURGOS,28700,1269,1349,1429,1299,40.590500,-3.582583
25,REPSOL,L-D: 07:00-23:00,"CL AVDA. EINSTEIN",28700,1249,1355,1495,1299,40.544417,-3.610167
26,REPSOL,L-D: 24H,"CR N-1",28700,1249,1355,1495,1299,40.545778,-3.606500
27,REPSOL,L-V: 06:00-23:00; S-D: 07:00-23:00,"CL REAL  (ANTIGUA N-1)",28700,1249,1349,1489,1279,40.552500,-3.618861
28,REPSOL,L-V: 06:30-00:30; S-D: 07:00-23:00,"CL AVDA TENERIFE",28700,1219,1329,1469,1249,40.560250,-3.620056
29,CEPSA,L-D: 24H,"AVENIDA TENERIFE (DE)",28700,1199,1309,1424,1229,40.559528,-3.621750
30,BALLENOIL,L-D: 24H,"PASEO EUROPA",28700,1189,1297,,,40.545917,-3.622917
31,BALLENOIL,L-D: 24H,"AVENIDA PIRINEOS (DE LOS)",28700,1169,1287,,,40.551972,-3.610083
32,BALLENOIL,L-D: 24H,"AVENIDA TENERIFE",28700,1167,1287,,,40.559389,-3.622861
33,BP APADIS,L-D: 06:00-00:00,"GLORIETA ANTONIO GAUDI",28700,1249,1359,1501,1339,40.557833,-3.612611
34,PETROPRIX,L-D: 24H,"AVENIDA FUENTE NUEVA",28700,1167,1287,,,40.547667,-3.612472
35,GALP,L-D: 24H,"AUTOVIA NACIONAL I",28700,1259,1339,1419,1329,40.608694,-3.579000
36,CEPSA,L-D: 24H,"N-I (MADRID-BURGOS)",28700,1249,,,,40.590889,-3.581778
